Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5;L6
FZ397;15/09/2022;2022;320;275;F;Puya;3+;3;Raphael;1123.186;445.5293333;741.071;981.245;;;
FZ467;16/08/2022;2022;340;370;F;Puya;4+;4;Raphael;1019.647;412.8553333;614.226;777.0853333;907.2823333;;
FZ549;10/09/2022;2022;315;276;F;Puya;4+;4;Raphael;1090.690667;463.9776667;690.026;869.0253333;982.8606667;;
FZ564;22/02/2022;2022;330;269;F;Puya;4;4;Raphael;874.8656667;338.4746667;565.6153333;747.0556667;874.8656667;;
FZ587;20/09/2022;2022;312;275;F;Puya;4+;4;Raphael;914.018;333.422;526.0483333;674.3343333;812.392;;
FZ610;04/10/2022;2022;310;295;F;Puya;3+;3;Raphael;1100.793333;433.9563333;726.3053333;934.319;;;
FZ622;08/07/2022;2022;370;420;F;Puya;3+;3;Raphael;1110.705667;454.147;766.6983333;992.785;;;
FZ631;13/09/2022;2022;320;279;F;Puya;3+;3;Raphael;1022.474667;412.8083333;695.9796667;897.311;;;
FZ632;13/09/2022;2022;350;455;F;Puya;3+;3;Raphael;1167.162;451.2856667;775.766;986.9856667;;;
FZ650;13/09/2022;2022;320;320;F;Puya;4+;4;Raphael;1067.25;409.7076667;626.0873333;804.8696667;951.5206667;;
FZ673;13/10/2022;2022;320;285;F;Puya;4+;4;Raphael;1045.747667;347.689;571.1963333;734.7496667;893.895;;
FZ701;12/02/2022;2022;368;359;M;Puya;4;4;Raphael;1004.401;406.0203333;648.1893333;838.9783333;1004.401;;
FZ730;30/09/2022;2022;300;230;M;Puya;4+;4;Raphael;883.1966667;349.2836667;529.8363333;675.037;786.562;;
FZ777;13/07/2022;2022;330;240;F;Puya;4+;4;Raphael;1057.166;383.543;598.8876667;772.307;920.076;;
FZ784;23/06/2022;2022;320;285;M;Puya;4+;4;Raphael;921.9613333;416.787;595.562;734.9196667;838.43;;
FZ832;04/04/2022;2022;320;300;F;Puya;4;4;Raphael;1068.761;394.1396667;674.8796667;897.0713333;1068.761;;
FZ833;04/04/2022;2022;340;340;M;Puya;4;4;Raphael;1023.002667;402.7793333;628.9633333;824.233;1023.002667;;
FZ836;06/04/2022;2022;320;300;F;Puya;4;4;Raphael;930.194;412.0643333;606.707;757.0923333;863.213;;
FZ838;06/04/2022;2022;320;300;F;Puya;4;4;Raphael;1116.696;493.4043333;709.1993333;901.0986667;1062.297333;;
FZ932;07/10/2022;2022;310;300;F;Puya;3+;3;Raphael;1027.951;392.343;626.1186667;805.0303333;;;
FZ280;16/09/2022;2022;310;301;F;Rives;5+;5;Raphael;907.533;320.6546667;478.325;601.517;710.9293333;818.3726667;
FZ289;13/08/2022;2022;306;233;M;Rives;5+;5;Raphael;874.9543333;308.606;484.07;599.1053333;707.0353333;803.4153333;
FZ346;29/03/2022;2022;315;240;F;Rives;5;5;Raphael;1159.307333;472.449;700.9196667;878.1756667;1017.954667;1159.307333;
FZ347;13/05/2022;2022;310;255;F;Rives;5;5;Raphael;1040.263333;411.0513333;606.6823333;750.2013333;881.3496667;1040.263333;
FZ349;12/06/2022;2022;310;245;F;Rives;5+;5;Raphael;1111.779333;393.409;638.312;794.9963333;931.932;1044.788;
FZ535;22/02/2022;2022;320;268;F;Rives;5;5;Raphael;1098.124;448.2535;665.728;855.1195;974.6385;1098.124;
FZ558;16/09/2022;2022;304;311;F;Rives;3+;3;Raphael;1058.427;422.5946667;665.084;846.1706667;;;
FZ642;23/08/2022;2022;320;241;M;Rives;3+;3;Raphael;974.789;394.721;678.3306667;853.1533333;;;
FZ705;07/09/2022;2022;302;236;F;Rives;3+;3;Raphael;911.5446667;341.5103333;594.545;766.2203333;;;
FZ715;04/09/2022;2022;300;240;M;Rives;3+;3;Raphael;1013.986;432.2773333;694.135;883.12;;;
FZ744;31/05/2022;2022;325;295;NA;Rives;5+;5;Raphael;993.105;387.3613333;571.8753333;710.1063333;831.4626667;935.4513333;
FZ738;12/09/2022;2022;300;220;F;Rives;3+;3;Raphael;1128.196667;479.9173333;806.3766667;1011.252667;;;
FZ751;23/02/2022;2022;305;210;F;Rives;5;5;Raphael;1003.204333;398.445;600.7086667;746.8893333;871.451;1003.204333;
FZ753;01/03/2022;2022;330;300;F;Rives;5;5;Raphael;1028.895667;386.825;604.348;765.7553333;900.8723333;1028.895667;
FZ795;02/03/2022;2022;340;340;F;Rives;3;3;Raphael;1171.664667;509.034;849.938;1171.664667;;;
FZ831;04/04/2022;2022;310;270;F;Rives;5;5;Raphael;1145.002333;380.241;619.361;784.236;938.069;1145.002333;
FZ858;12/10/2022;2022;300;240;F;Rives;3+;3;Raphael;1045.093667;440.5083333;727.0253333;910.573;;;
FZ876;20/06/2022;2022;300;200;NA;Rives;3+;3;Raphael;1057.987;409.6526667;685.584;911.491;;;
FZ879;16/07/2022;2022;310;240;F;Rives;5+;5;Raphael;975.835;303.5736667;466.236;589.0796667;777.7673333;902.204;
FZ940;09/10/2022;2022;330;380;F;Rives;5+;5;Raphael;1085.338667;404.1456667;624.4203333;771.776;890.9996667;996.1783333;
